DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CAUCA,CALDONO,19137000,ARMA DE FUEGO,22/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,22/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,22/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,25/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,25/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,LLAVE MAESTRA,25/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALOTO,19142000,NO REPORTA,26/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CAJIBÍO,19130000,ARMA DE FUEGO,29/08/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PUERTO TEJADA,19573000,NO REPORTA,1/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,2
CAUCA,EL TAMBO,19256000,NO REPORTA,2/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,LLAVE MAESTRA,3/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,NO REPORTA,3/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,5/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,5/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TIMBÍO,19807000,ARMA DE FUEGO,7/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MIRANDA,19455000,NO REPORTA,8/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,LA VEGA,19397000,SIN EMPLEO DE ARMAS,8/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MORALES,19473000,SIN EMPLEO DE ARMAS,8/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,NO REPORTA,9/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,11/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,12/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,12/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,SIN EMPLEO DE ARMAS,14/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PATÍA,19532000,SIN EMPLEO DE ARMAS,15/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MERCADERES,19450000,SIN EMPLEO DE ARMAS,16/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,17/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,VILLA RICA,19845000,ARMA DE FUEGO,17/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,ROSAS,19622000,NO REPORTA,19/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,BUENOS AIRES,19110000,NO REPORTA,22/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALOTO,19142000,ARMA DE FUEGO,23/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,25/09/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
